,512,1024,2000,4000,8000
0,0.7894736842105263,0.868421052631579,0.8157894736842105,0.7105263157894737,0.631578947368421
20,0.6842105263157895,0.7894736842105263,0.6842105263157895,0.7105263157894737,0.5263157894736842
40,0.6842105263157895,0.7105263157894737,0.7631578947368421,0.7631578947368421,0.3783783783783784
60,0.6578947368421053,0.8157894736842105,0.8421052631578947,0.6842105263157895,0.5263157894736842
80,0.6052631578947368,0.8157894736842105,0.8157894736842105,0.6578947368421053,0.47368421052631576
100,0.6578947368421053,0.7368421052631579,0.631578947368421,0.5526315789473685,0.8157894736842105
